symboling,drivewheel,enginelocation,cylindernumber,enginesize,compressionratio,horsepower,citympg,highwaympg
3,fwd,front,four,156,7,145,19,24
3,fwd,front,four,156,7,145,19,24
3,fwd,front,four,156,7,145,19,24
3,rwd,front,six,181,9,160,19,25
3,rwd,front,six,181,7.8,200,17,23
3,rwd,front,four,156,7,145,19,24
3,rwd,front,four,151,9.5,143,19,27
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,fwd,front,four,121,9.31,110,21,28
3,fwd,front,four,121,9.3,110,21,28
3,fwd,front,four,121,9,160,19,26
3,rwd,front,six,171,9.3,161,20,24
3,rwd,front,six,171,9.3,161,19,24
3,fwd,front,four,109,8.5,90,24,29
3,fwd,front,four,109,8.5,90,24,29
3,rwd,front,eight,234,8.3,155,16,18
3,fwd,front,four,110,7.5,116,23,30
3,fwd,front,four,122,8.5,88,25,32
3,fwd,front,four,156,7,145,19,24
3,fwd,front,four,156,7,145,19,24
3,fwd,front,four,156,7,145,19,24
3,rwd,front,six,181,9,160,19,25
3,rwd,front,six,181,7.8,200,17,23
3,rwd,front,four,156,7,145,19,24
3,rwd,front,four,151,9.5,143,19,27
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,fwd,front,four,121,9.31,110,21,28
3,fwd,front,four,121,9.3,110,21,28
3,fwd,front,four,121,9,160,19,26
3,rwd,front,six,171,9.3,161,20,24
3,rwd,front,six,171,9.3,161,19,24
3,fwd,front,four,109,8.5,90,24,29
3,fwd,front,four,109,8.5,90,24,29
3,rwd,front,four,130,9,111,21,27
3,rwd,front,four,130,9,111,21,27
3,fwd,front,four,156,7,145,19,24
3,rwd,front,four,130,9,111,21,27
3,rwd,front,four,130,9,111,21,27
3,fwd,front,four,156,7,145,19,24
3,rwd,front,four,130,9,111,21,27
3,rwd,front,four,130,9,111,21,27
3,fwd,front,four,156,7,145,19,24
3,rwd,front,two,70,9.4,101,17,23
3,rwd,front,two,70,9.4,101,17,23
3,rwd,front,two,70,9.4,101,17,23
3,rwd,front,four,130,9,111,21,27
3,rwd,front,four,130,9,111,21,27
3,fwd,front,four,156,7,145,19,24
3,rwd,front,four,130,9,111,21,27
3,rwd,front,four,130,9,111,21,27
3,fwd,front,four,156,7,145,19,24
,rwd,front,four,141,9.5,114,23,28
,rwd,front,six,173,,134,18,23
,fwd,front,four,122,8.6,84,26,32
,fwd,front,four,108,9.5,82,28,33
,rwd,front,four,141,9.5,114,23,28
,rwd,front,six,173,,134,18,23
,fwd,front,four,122,8.6,84,26,32
,fwd,front,four,108,9.5,82,28,33
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,122,8.5,88,25,32
1,fwd,front,four,122,8.5,88,25,32
1,fwd,front,four,110,7.5,116,23,30
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,103,21.9,55,45,50
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,rwd,front,six,181,9,160,19,25
1,fwd,front,four,90,9.4,68,37,41
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,98,9.4,68,31,38
1,rwd,front,eight,203,10,288,17,28
1,fwd,front,four,92,9,62,35,39
1,fwd,front,four,92,9,62,31,38
1,fwd,front,four,92,9,62,31,38
1,rwd,front,four,98,9,70,29,34
1,rwd,front,four,98,9,70,29,34
1,rwd,front,four,98,9.4,112,26,29
1,rwd,front,four,98,9.4,112,26,29
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,fwd,front,four,97,9.4,69,31,37
1,rwd,front,six,181,9,160,19,25
1,fwd,front,four,90,9.4,68,37,41
1,fwd,front,four,98,7.6,102,24,30
1,fwd,front,four,90,9.4,68,31,38
1,fwd,front,four,90,9.4,68,31,38
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
-1,fwd,rear,four,122,8.7,92,27,32
-1,rwd,rear,four,141,9.5,114,24,28
0,fwd,rear,four,98,9,70,30,37
0,fwd,rear,four,98,9,70,30,37
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
3,rwd,rear,six,194,9.5,207,17,25
